degree,sum_of_errors,time_result
50,49.495727197252265,0.1222686767578125
60,0.0017539834251658719,0.14231514930725098
70,2.848115653424077e-07,0.16125965118408203
80,2.730239917030086e-07,0.1867060661315918
90,2.730240115204896e-07,0.22100615501403809
100,2.730240115204896e-07,0.2262110710144043
